ProjectName,Developer,Architect,SE_or_OPEN,Units,Metro,Stage,SourceReport,Confidence
Irvine Co. Pacifica Place,,OPEN,OPEN,896,OC,Move-ins Jun 2026,oc-ecosystem-deep,HIGH
Irvine Co. 2518 Mission College Blvd (Santa Clara),The Irvine Company,MVE (probable),OPEN,1792,Bay,Approved March 2025,norcal-ecosystem-deep,HIGH
Gateway Crossing NorCal (San Jose),Holland Partner Group,MVE + Partners,Nelson Structural + FBA Inc.,725,Bay,Under construction ($290M Phase 1),norcal-ecosystem-deep,HIGH
3896 Stevens Creek Blvd (San Jose),Holland Partner Group,TCA Architects,OPEN,540,Bay,Renderings Mar 2025; pre-construction,norcal-ecosystem-deep,HIGH
2200 Calle de Luna (Santa Clara),Holland Partner Group,,OPEN,301,Bay,Pre-construction,norcal-ecosystem-deep,HIGH
Coyote Creek Village (North San Jose),Hanover Company,KTGY,OPEN,1140,Bay,Groundbreaking 2026; completion Q4 2027,norcal-ecosystem-deep,HIGH
The Tower at CityView (San Jose),Jay Paul Company,SCB,OPEN,360,Bay,Approved 2025; 27-story,norcal-ecosystem-deep,HIGH
CityView 320-unit office-to-resi (San Jose),Jay Paul Company,SCB,OPEN,320,Bay,Planning,norcal-ecosystem-deep,HIGH
Orchard Residences (San Jose),Westbank Corp,James K.M. Cheng + Steinberg Hart,Glotman Simpson,768,Bay,Approved Dec 2025 (28+27-story),norcal-ecosystem-deep,HIGH
Westbank San Jose additional tower,Westbank Corp,,OPEN,1147,Bay,Proposed,norcal-ecosystem-deep,HIGH
Marlowe Natomas (Sacramento),Greystar / PGIM,,OPEN,378,Sacramento,Breaking ground 2026,norcal-ecosystem-deep,HIGH
Hornet Place student housing (CSU Sacramento),Greystar JV,,OPEN,352,Sacramento,Active construction,norcal-ecosystem-deep,HIGH
30 Van Ness (SF),Lendlease,SCB,OPEN,468000 sqft,Bay,ON HOLD since Aug 2023; 47-story,norcal-ecosystem-deep,HIGH
Modera San Rafael,Mill Creek Residential,,OPEN,210,Bay,Under construction; move-ins 2028,norcal-ecosystem-deep,HIGH
Pier 70 mixed-use (SF Waterfront),Strada Investment Group,,OPEN,2150,Bay,Planning,norcal-ecosystem-deep,HIGH
Alexan Webster (Oakland),Trammell Crow / TCR,KTGY,OPEN,234,Bay,Under construction ($135M),norcal-ecosystem-deep,HIGH
VTA Capitol Station TOD (San Jose),MidPen Housing,,OPEN,203,Bay,Active construction,ca-institutional-public-pipeline,HIGH
Alexan Marmont (Monrovia),Trammell Crow,,OPEN,436,LA,DELIVERED 2024,la-ecosystem-deep,HIGH
UCSD Pepper Canyon East District,UC San Diego,Steinberg Hart + Studio Gang + Henning Larsen + BIG + HED,OPEN,6000,SD,Pre-design; Fall 2030 target,ca-institutional-public-pipeline,HIGH
UCLA 901 Levering,UC Los Angeles,,OPEN,1130,LA,Schematic design; site work summer 2026,ca-institutional-public-pipeline,HIGH
UCSB San Benito Student Housing,UC Santa Barbara,,OPEN,2140,,Construction begins June 2026,ca-institutional-public-pipeline,HIGH
1510 Webster St (Oakland),oWOW,oWOW,DCI Engineers,182,Bay,DELIVERED 2023 (19-story mass timber),ca-woodframe-masstimber-map,Confirmed
1523 Harrison St (Oakland),oWOW,oWOW,DCI Engineers,496,Bay,Planned; permit/approval; start ~2025 (28-story MPP),ca-woodframe-masstimber-map,Confirmed
McEvoy & Dupont Apartments (San Jose),First Community Housing,SERA Architects,Fast + Epp,365,Bay,Under construction (12-story CLT),ca-woodframe-masstimber-map,Confirmed
843 N Spring St (Los Angeles),Redcar Properties,Lever Architecture,Glotman Simpson,,LA,DELIVERED Aug 2024 (5-story CLT hybrid office),ca-woodframe-masstimber-map,Confirmed
SuperBungalows on Marathon (Silver Lake LA),SuperLA,SuperLA,OPEN,9,LA,DELIVERED 2024 (first CLT multifamily SoCal),ca-woodframe-masstimber-map,Confirmed
SuperBungalows on Hyperion (Silver Lake LA),SuperLA,SuperLA,OPEN,15,LA,Under construction,ca-woodframe-masstimber-map,Confirmed
DLT California Pilot (Oakland Ivy Hill),Team Projects,WRNS Studio,Forell+Elsesser,84,Bay,Design/research phase announced Apr 2026,ca-woodframe-masstimber-map,Confirmed
6344 Fountain (Hollywood),OPEN,West of West + House & Robertson,Glotman Simpson,,LA,DELIVERED (4-story CLT office first CLT diaphragm in LA),ca-woodframe-masstimber-map,Confirmed
42XX Marina del Rey campus,The Bradmore Group,Rios,,150000+ sqft office,LA,DELIVERED Oct 2024 (CLT hybrid 3 bldgs),ca-woodframe-masstimber-map,Confirmed
Grand Gateway West Sacramento,SKK Developments,,OPEN,332,Sacramento,Planning (332 apts + hotel + retail mixed-use),ca-secondary-submarkets,HIGH
840 Delta Lane (West Sacramento),,,OPEN,195,Sacramento,Planning (5-story market-rate),ca-secondary-submarkets,HIGH
Oceanside Blocks 5 and 20,,,OPEN,373,SD,CEQA filed; two-building mixed-use 17400 SF commercial,ca-secondary-submarkets,HIGH
North City (San Marcos),Rise Carmel LLC / Urban Villages San Marcos,,OPEN,3400,SD,Under construction (multi-phase 200 acres $2B),ca-secondary-submarkets,HIGH
Park Center at Seven Oaks (Bakersfield),Presidio Capital + Fuller Apt + Bolthouse,,,520,Statewide,Phase 1 (352u) groundbreak May 2025,ca-secondary-submarkets,HIGH
