"DisplayName","Kind","Metro","DefaultSE","OneLineNote","Confidence"
"Essex Property Trust","Developer","Bay","FBA Inc. (confirmed)","Bay Area REIT 259 communities 63077 homes; selective development pipeline","Confirmed"
"Jamboree Housing","Developer","OC","","OC+IE+SoCal affordable/supportive housing; WISEPlace on Broadway Santa Ana (2025); 2025 Novogradac Award","Confirmed"
"oWOW","Developer","Bay","DCI Engineers (1510 Webster + 1523 Harrison confirmed)","Oakland design-build innovator; 1510 Webster (19-story 182u mass timber complete 2023) + 1523 Harrison (28-story 496u planned)","Confirmed"
"First Community Housing","Developer","Bay","Fast+Epp (McEvoy confirmed)","San Jose affordable housing; McEvoy+Dupont Apts (12-story CLT 365 affordable units under construction)","Confirmed"
"Wermers Companies","Developer","SD","","San Diego top multifamily contractor; 72-unit Encinitas groundbreak 2024; workforce housing Jan 2025","Confirmed"
"Trumark Homes","Developer","LA;Bay","","San Ramon-based; 8 new SoCal neighborhoods Spring/Summer 2025; two Riverside County land deals; expanding SoCal 2026","Confirmed"
"JWDA (Joseph Wong Design Associates)","Architect","SD","KOR (incumbent confirmed multiple projects)","Top SD luxury+affordable high-rise MF architect; KOR incumbent on Simone/6th+Olive/800 Broadway/The Lindley","Confirmed"
"Martinez + Cutri Urban Studio","Architect","SD","KOR (warm/incumbent on some; Glotman Simpson on 11th+Broadway)","SD urban high-rise condo+mixed-use+historic/seismic; 11th+Broadway (Pinnacle 623u Glotman Simpson SE)","Confirmed"
"DBRDS (De Bartolo + Rimanic Design Studio)","Architect","SD;Sacramento","KOR (incumbent)","SD+Sacramento MF+mixed-use+hotel; Sacramento office 2024; Craig Howard principal","Confirmed"
"Gensler San Diego","Architect","SD","Miyamoto International (Riverwalk Phase 1)","Riverwalk SD (721u Phase 1 under construction); SAN Terminal 1 ($3.8B aviation)","Confirmed"
"Studio E Architects","Architect","SD","","No locked SE identified; Stella North Park (149u Murfey developer under construction 2025-27)","Confirmed"
"IBI Group (now Arcadis)","Architect","LA","","DTLA high-rise AOR on Onni Olympic+Hill; Canadian firm with LA entitlement work","Confirmed"
"Gensler Los Angeles","Architect","LA;OC","Saiful Bouquet (multiple confirmed)","AC+Moxy Hotels + LA City Center (Saiful Bouquet SE); Relevant Group 3-tower DTLA; One Beverly Hills; Village Santa Ana","Confirmed"
"KTGY Architecture + Planning","Architect","LA;OC;Bay","Labib Funk (Jamison confirmed) / NIC Consultants (Halcyon House OC confirmed)","One of largest national multifamily firms; Irvine HQ + LA + Oakland offices; no single locked CA SE","Confirmed"
"AO (Architects Orange)","Architect","OC;Bay","","OC largest MF volume firm; Row at Red Hill (1100u Greystar) + Bolsa Pacific (2250u) + Hive Live (1050u); no locked SE post-PBA closure","Confirmed"
"Newman Garrison + Partners","Architect","OC","","Newport Beach; mid-rise/wrap MF; ~40 years experience","Confirmed"
"Danielian Associates","Architect","OC","Gouvis Engineering (production tract)","OC-specific production housing+community planning; not high-rise MF","Confirmed"
"Gensler Orange County","Architect","OC","","Village Santa Ana (1583u 25-story Hines+Segerstrom development SE open)","Confirmed"
"Smith-Clementi Architecture","Architect","OC","JAMA (OC Vibe non-residential confirmed)","Entertainment-anchored mixed-use; OC Vibe Phase I non-residential","Confirmed"
"MVE + Partners Irvine","Architect","OC","Glotman Simpson (Ritz-Carlton) / Englekirk/WSP (Rafferty)","OC premier high-rise architecture firm; Ritz-Carlton Newport (22-story Glotman SE) + OC Vibe residential (~2027)","Confirmed"
"TCA Architects Oakland","Architect","Bay","","Oakland studio; Stevens Creek (Holland 540u San Jose); Modera Rincon Hill SF; Thomas Cox founder","Confirmed"
"BAR Architects","Architect","Bay","ZFA Structural (Jeff Goodwin confirmed)","SF luxury/custom MF+mixed-use+affordable reuse; AVE Santa Clara (300+u 8-story opened Jan 2025)","Confirmed"
"Gensler San Francisco","Architect","Bay","Tipping Structural (own office reno confirmed)","Commercial+office+life science+mixed-use SF; less pure MF than peers","Confirmed"
"Dahlin Architecture + Planning","Architect","Bay","","Pleasanton 190 professionals; NorCal active; Altan Los Altos + Marina Plaza Cupertino; no confirmed SE","Confirmed"
"James K.M. Cheng Architects","Architect","Bay","Glotman Simpson (Orchard Residences confirmed)","Vancouver-based; Westbank's design architect on San Jose towers","Confirmed"
"Withee Malcolm Architects","Architect","LA;OC","","Torrance SoCal mid-rise specialist 41 staff; no confirmed SE","Confirmed"
"KFA Architecture (Killefer Flammang)","Architect","LA","","West Hollywood affordable housing+adaptive reuse; 4000+ affordable units; District NoHo AOR (consortium)","Confirmed"
"HKS Architects","Architect","LA","","DTLA District NoHo master architect (28fl/313u Block 1); in-house SE capability","Confirmed"
"Studio T-Square","Architect","Bay","","Avelle Mountain View (Sares Regis 203u opened Feb 2025)","Confirmed"
"Team Projects","Architect","Bay","Forell+Elsesser (DLT pilot confirmed)","DLT California pilot Oakland (84-unit residential study with WRNS+Mad River+Forell)","Confirmed"
"Redcar Properties","Developer","LA","Glotman Simpson (843 N Spring confirmed)","843 N Spring St LA CLT hybrid creative office developer","Confirmed"
"The Bradmore Group","Developer","LA","","Marina del Rey campus (3 buildings 150K+ SF CLT hybrid office completed Oct 2024)","Confirmed"
"SuperLA","Developer","LA","","Silver Lake LA CLT residential pioneer; SuperBungalows on Marathon (9u 3-story complete 2024) + Hyperion (15u UC)","Confirmed"
"Fairfield Residential","Developer","Statewide","","National developer; active CA MF pipeline 2025-26; VCA client; 3-4 story WF podium","Probable"
"MBK Homes","Developer","OC;Bay","","Irvine MF; multifamily pipeline VCA client; suburban podium","Probable"
"Western National Group","Developer","OC","","Irvine SoCal; OC/IE new development; VCA client; no confirmed SE","Probable"
"City Ventures","Developer","LA;OC;SD","","LA-based eco/smart home developer; 4-6 story WF infill CA-focused","Confirmed"
"AMCAL Multi-Housing","Developer","Statewide","","Agoura Hills; affordable+student+market-rate; Type III/V woodframe; VCA client","Probable"
"Mosaic Timber","Vendor","Sacramento","","Crescent Mills Plumas County; CA first CLT production line; equipment arrived Nov 2025 production start mid-2026","Confirmed"
"Mad River Mass Timber","Vendor","Bay","","Humboldt County; DLT press operational 2025 up to 1000 sqft/day; DLT California pilot partner","Confirmed"
"FABRIC Mass Timber","Vendor","Bay","","NorCal; first large-scale CA mass timber production facility launch; WRNS Studio partner","Confirmed"
"CSU (California State University)","Government","Statewide","Englekirk/WSP (systemwide seismic peer review confirmed)","$8-12B 2026-2031 five-year capital plan; SEs not subject to systemwide prequalification — campus-by-campus QBS","Confirmed"
"UC System","Government","Statewide","","74 major capital projects (>$20M) active; QBS per campus; no systemwide SE pre-qual pool","Confirmed"
"SDUSD","Government","SD","","$11.5B across four bond measures; DSA track-record barrier same as LAUSD","Confirmed"
"California Judicial Council","Government","Statewide","","IDIQ on-call structural engineering contracts (RFP-FS-2023-22); next cycle expected 2026-27; seismic expertise needed","Confirmed"
"LA Metro","Government","LA","","10K Homes by 2031 Joint Development program; 20 active sites; developer-controlled SE selection","Confirmed"
